time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765444737251;0;0;0;0;0;0;95;0
1765444742291;0;0;0;0;0;0;95;1
1765444742651;0;0;0;0;0;0;95;0
1765444749204;0;0;0;0;0;0;95;1
1765444750271;0;0;0;0;0;0;96;1
1765444750751;0;0;0;0;0;0;96;0
1765444755791;0;0;0;0;0;0;96;1
1765444756151;0;0;0;0;0;0;96;0
1765444762705;0;0;0;0;0;0;96;1
1765444763751;0;0;0;0;0;0;97;1
1765444764251;0;0;0;0;0;0;97;0
1765444769291;0;0;0;0;0;0;97;1
1765444769651;0;0;0;0;0;0;97;0
1765444776205;0;0;0;0;0;0;97;1
1765444777271;0;0;0;0;0;0;98;1
1765444777751;0;0;0;0;0;0;98;0
1765444782791;0;0;0;0;0;0;98;1
1765444783151;0;0;0;0;0;0;98;0
1765444789706;0;0;0;0;0;0;98;1
1765444790751;0;0;0;0;0;0;99;1
1765444791251;0;0;0;0;0;0;99;0
1765444796291;0;0;0;0;0;0;99;1
1765444796651;0;0;0;0;0;0;99;0
1765444803206;0;0;0;0;0;0;99;1
1765444804251;0;0;0;0;0;0;100;1
1765444804751;0;0;0;0;0;0;100;0
1765444809791;0;0;0;0;0;0;100;1
1765444810151;0;0;0;0;0;0;100;0
1765444816707;0;0;0;0;0;0;100;1
1765444817771;0;0;0;0;0;0;101;1
1765444818251;0;0;0;0;0;0;101;0
1765444823291;0;0;0;0;0;0;101;1
1765444823671;0;0;0;0;0;0;101;0
1765444830207;0;0;0;0;0;0;101;1
1765444831291;0;0;0;0;0;0;102;1
1765444831751;0;0;0;0;0;0;102;0
1765444836791;0;0;0;0;0;0;102;1
1765444837151;0;0;0;0;0;0;102;0
1765444843708;0;0;0;0;0;0;102;1
1765444844791;0;0;0;0;0;0;103;1
1765444845251;0;0;0;0;0;0;103;0
1765444850291;0;0;0;0;0;0;103;1
1765444850651;0;0;0;0;0;0;103;0
1765444857208;0;0;0;0;0;0;103;1
1765444858271;0;0;0;0;0;0;104;1
1765444858751;0;0;0;0;0;0;104;0
1765444863791;0;0;0;0;0;0;104;1
1765444864151;0;0;0;0;0;0;104;0
1765444870709;0;0;0;0;0;0;104;1
1765444871751;0;0;0;0;0;0;105;1
1765444872251;0;0;0;0;0;0;105;0
1765444877291;0;0;0;0;0;0;105;1
1765444877651;0;0;0;0;0;0;105;0
1765444884209;0;0;0;0;0;0;105;1
1765444885271;0;0;0;0;0;0;106;1
1765444885751;0;0;0;0;0;0;106;0
1765444890791;0;0;0;0;0;0;106;1
1765444891151;0;0;0;0;0;0;106;0
1765444897710;0;0;0;0;0;0;106;1
1765444898751;0;0;0;0;0;0;107;1
1765444899251;0;0;0;0;0;0;107;0
1765444904291;0;0;0;0;0;0;107;1
1765444904651;0;0;0;0;0;0;107;0
1765444911210;0;0;0;0;0;0;107;1
1765444912291;0;0;0;0;0;0;108;1
1765444912751;0;0;0;0;0;0;108;0
1765444917791;0;0;0;0;0;0;108;1
1765444918151;0;0;0;0;0;0;108;0
1765444924711;0;0;0;0;0;0;108;1
1765444925791;0;0;0;0;0;0;109;1
1765444926251;0;0;0;0;0;0;109;0
1765444931291;0;0;0;0;0;0;109;1
1765444931651;0;0;0;0;0;0;109;0
1765444938211;0;0;0;0;0;0;109;1
1765444939251;0;0;0;0;0;0;110;1
1765444939751;0;0;0;0;0;0;110;0
1765444944791;0;0;0;0;0;0;110;1
1765444945151;0;0;0;0;0;0;110;0
1765444951712;0;0;0;0;0;0;110;1
1765444952771;0;0;0;0;0;0;111;1
1765444953251;0;0;0;0;0;0;111;0
1765444958291;0;0;0;0;0;0;111;1
1765444958671;0;0;0;0;0;0;111;0
1765444965212;0;0;0;0;0;0;111;1
1765444966291;0;0;0;0;0;0;112;1
1765444966751;0;0;0;0;0;0;112;0
1765444971791;0;0;0;0;0;0;112;1
1765444972151;0;0;0;0;0;0;112;0
1765444978713;0;0;0;0;0;0;112;1
1765444979791;0;0;0;0;0;0;113;1
1765444980251;0;0;0;0;0;0;113;0
1765444985291;0;0;0;0;0;0;113;1
1765444985651;0;0;0;0;0;0;113;0
1765444992213;0;0;0;0;0;0;113;1
1765444993251;0;0;0;0;0;0;114;1
1765444993751;0;0;0;0;0;0;114;0
1765444998791;0;0;0;0;0;0;114;1
1765444999151;0;0;0;0;0;0;114;0
1765445005714;0;0;0;0;0;0;114;1
1765445006751;0;0;0;0;0;0;115;1
1765445007251;0;0;0;0;0;0;115;0
1765445012291;0;0;0;0;0;0;115;1
1765445012651;0;0;0;0;0;0;115;0
1765445019214;0;0;0;0;0;0;115;1
1765445020271;0;0;0;0;0;0;116;1
1765445020751;0;0;0;0;0;0;116;0
1765445025791;0;0;0;0;0;0;116;1
1765445026151;0;0;0;0;0;0;116;0
1765445032715;0;0;0;0;0;0;116;1
1765445033751;0;0;0;0;0;0;117;1
1765445034251;0;0;0;0;0;0;117;0
1765445039291;0;0;0;0;0;0;117;1
1765445039651;0;0;0;0;0;0;117;0
1765445046215;0;0;0;0;0;0;117;1
1765445047271;0;0;0;0;0;0;118;1
1765445047751;0;0;0;0;0;0;118;0
